datetime,y
9/29/2014,7.92
9/30/2014,7.88
10/8/2014,7.94
10/9/2014,8.05
10/10/2014,7.93
10/13/2014,7.94
10/14/2014,7.85
10/15/2014,7.86
10/16/2014,7.7
10/17/2014,7.58
10/20/2014,7.68
10/21/2014,7.6
10/22/2014,7.55
10/23/2014,7.4
10/24/2014,7.43
10/27/2014,7.46
10/28/2014,7.61
10/29/2014,7.67
10/30/2014,7.66
10/31/2014,7.8
11/3/2014,7.83
11/4/2014,7.92
11/5/2014,7.83
11/6/2014,7.82
11/7/2014,7.69
11/10/2014,7.88
11/11/2014,7.71
11/12/2014,8.13
11/13/2014,8.03
11/14/2014,7.99
11/17/2014,7.97
11/18/2014,8
11/19/2014,7.94
11/20/2014,7.87
11/21/2014,7.95
11/24/2014,8.2
11/25/2014,8.24
11/26/2014,8.22
11/27/2014,8.25
11/28/2014,8.21
12/1/2014,8.25
12/2/2014,8.37
12/3/2014,8.52
12/4/2014,8.71
12/5/2014,8.41
12/8/2014,8.72
12/9/2014,8.49
12/10/2014,8.96
12/11/2014,9.08
12/12/2014,8.96
12/15/2014,8.95
12/16/2014,9.08
12/17/2014,8.88
12/18/2014,8.69
12/19/2014,8.69
12/22/2014,8.74
12/23/2014,8.37
12/24/2014,8.47
12/25/2014,8.57
12/26/2014,8.67
12/29/2014,8.62
12/30/2014,8.95
12/31/2014,8.89
1/5/2015,9.13
1/6/2015,9.16
1/7/2015,9.01
1/8/2015,9.13
1/9/2015,8.89
1/12/2015,8.51
1/13/2015,8.55
1/14/2015,8.42
1/15/2015,8.6
1/16/2015,8.73
1/19/2015,8.21
1/20/2015,8.36
1/21/2015,8.57
1/22/2015,8.61
1/23/2015,8.73
1/26/2015,9.01
1/27/2015,8.92
1/28/2015,9
1/29/2015,9.13
1/30/2015,9
2/2/2015,8.99
2/3/2015,9.21
2/4/2015,9.29
2/5/2015,9.32
2/6/2015,8.93
2/9/2015,9.02
2/10/2015,9.08
2/11/2015,9.27
2/12/2015,9.24
2/13/2015,9.38
2/16/2015,9.48
2/17/2015,9.39
2/25/2015,9.1
2/26/2015,9.23
2/27/2015,9.14
3/2/2015,9.24
3/3/2015,9.33
3/4/2015,9.89
3/5/2015,10.04
3/6/2015,9.79
3/9/2015,9.89
3/10/2015,10.36
3/11/2015,10.26
3/12/2015,10.09
3/13/2015,10.21
3/16/2015,10.37
3/17/2015,10.4
3/18/2015,10.87
4/23/2015,11.96
4/24/2015,13.16
4/27/2015,14.26
4/28/2015,14.65
4/29/2015,14.85
4/30/2015,15.49
5/4/2015,15.46
5/5/2015,15.39
5/6/2015,15.99
5/7/2015,14.9
5/8/2015,14.69
5/11/2015,15.16
5/12/2015,16.1
5/13/2015,16.32
5/14/2015,16.05
5/15/2015,15.32
5/18/2015,14.99
5/19/2015,15.37
5/20/2015,15.23
5/21/2015,15.6
5/22/2015,15.75
5/25/2015,16.19
5/26/2015,16.78
